CÓDIGO DEPARTAMENTO,DEPARTAMENTO,PROVINCIA,CÓDIGO MUNICIPIO,MUNICIPIO,CODIGO DANE INSTITUCION EDUCATIVA,NOMBRE INSTITUCION EDUCATIVA,CODIGO DANE SEDE,NOMBRE SEDE EDUCATIVA,ZONA,PROYECTOS DE CONECTIVIDAD 2024,OPERADOR,ESTADO,MEDIO DE ENLACE,ANCHO DE BANDA DE SUBIDA (MB),ANCHO DE BANDA DESCARGA (MB),FINALIZACIÓN DEL CONTRATO,LATITUD,LONGITUD
15,BOYACÁ,SUGAMUXI,15047,AQUITANIA,215047000170,I.E. TOQUILLA,215047000463,SEDE LOS COLORADOS,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.508611,-72.783056
15,BOYACÁ,SUGAMUXI,15047,AQUITANIA,215047000153,I.E. SUSE,215047000412,SEDE SAN JOSE,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.383333,-72.919444
15,BOYACÁ,RICAURTE,15051,ARCABUCO,115051000155,I.E. TECNICO ALEJANDRO DE HUMBOLDT,215051000079,ESC PEÑAS BLANCAS,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.785068719,-73.46116816
15,BOYACÁ,RICAURTE,15051,ARCABUCO,115051000155,I.E. TECNICO ALEJANDRO DE HUMBOLDT,215051000052,ESC QUIRVAQUIRA I,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.75,15,12/01/2032 12:00:00 AM,5.684024907,-73.36293687
15,BOYACÁ,RICAURTE,15051,ARCABUCO,115051000155,I.E. TECNICO ALEJANDRO DE HUMBOLDT,215051000176,ESC QUIRVAQUIRA II,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.711550512,-73.375272
15,BOYACÁ,TUNDAMA,15087,BELÉN,115087000011,I.E. TECNICA SUSANA GUILLEMIN,215087000253,ESC ALTO DE CANUTOS,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.75,15,12/01/2032 12:00:00 AM,6.03884512,-72.92356678
15,BOYACÁ,TUNDAMA,15087,BELÉN,115087000011,I.E. TECNICA SUSANA GUILLEMIN,215087000130,ESC CARACOLES,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,6.034377,-72.918289
15,BOYACÁ,TUNDAMA,15087,BELÉN,115087000208,I.E. TECNICA CARLOS ALBERTO OLANO VALDERRAMA,215087000164,ESC SAN JOSE DE LA MONTAÑA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.75,15,12/01/2032 12:00:00 AM,6.0342222222222,-73.02388889
15,BOYACÁ,LENGUPÁ,15090,BERBEO,315090000064,I.E. CAMPO ELIAS CORTES,215090000027,ESC BATATAL BAJO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.17902567,-73.08446044
15,BOYACÁ,VALDERRAMA,15092,BETÉITIVA,215092000041,I.E. TECNICA NUESTRA SEÑORA DE LA O,215092000083,ESC RURAL SOIQUÍA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.907745,-72.8639
15,BOYACÁ,VALDERRAMA,15092,BETÉITIVA,215092000041,I.E. TECNICA NUESTRA SEÑORA DE LA O,215092000041,I.E. TECNICA NUESTRA SEÑORA DE LA O - SEDE PRINCIPAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.75,15,12/01/2032 12:00:00 AM,5.910076503,-72.86543782
